universities_id,universities_name
1191703.0,ШИ (ф) ЮРГТУ (НПИ)
1191452.0,ВлГУ им. А.Г. и Н.Г. Столетовых (ВлГУ и ВГГУ)
1191289.0,ККИ РУК
1191252.0,УзГИФК
1191156.0,"НАПКС (бывш. КИПКС, СФ ДИСИ)"
1191142.0,КАТУ (ЮФ НАУ)
1191141.0,КФУ им. В. И. Вернадского
1191140.0,АНХ при Правительстве РФ
1190914.0,СибГУ им. М. Ф. Решетнева
1190633.0,"ТТИ ЮФУ (бывш. ТРТУ, ТРТИ)"
1190622.0,ВоГУ (бывш. ВоГТУ)
1190526.0,ЛМЗ-ВТУЗ (ПИМаш)
1189601.0,РВИРВ им. Неделина
1189378.0,State University of New York Downstate Medical Center
1189322.0,ВХУТЕИН
1189244.0,ДонНМУ им. Горького (с 2014)
1189222.0,Финансовый университет (ФА)  при Правительстве РФ
1189170.0,Universitat Politècnica de Catalunya
1189116.0,РГТЭУ (УФ) (бывш. МГУК)
1189100.0,ПГУ (бывш. АГПИ) им. Ломоносова
1189099.0,АГТУ
1189089.0,ГУМРФ им. адмирала С. О. Макарова
1189060.0,УГТУ-УПИ
1189058.0,УрФУ
1189056.0,Haute école spécialisée de Suisse occidentale (HES-SO) Genève
1188931.0,КИПУ (ЕФ)
1188741.0,ТПИ (БФ)
1188591.0,АДПО
1188286.0,МИТУ-МАСИ
1188143.0,Saint John's Seminary
1188112.0,ОГУ имени И. С. Тургенева (с 2016)
1188057.0,УАТИ
1187987.0,ТИУ
1187986.0,SAE Institute
1187921.0,АУП (бывш. ОИ-ВПШ)
1187912.0,Московский политехнический университет
1187585.0,РТУ МИРЭА
1187488.0,РГПУ
1187476.0,Самарский университет
1187461.0,Universitas Terbuka
1187430.0,ЛНУ им. В. Даля
1176169.0,Universitas Telkom
1175876.0,Brunel University
1175819.0,Université  Bordeaux I
1175738.0,СПбГУ ИТМО
1175700.0,КЮИ (ф) АГП РФ
1175608.0,University of South Wales
1175546.0,Universitetet i Tromsø – Norges arktiske universitet (UiT) (ex HiF)
1175375.0,Linnéuniversitetet
1175311.0,Sam Houston State University
1175264.0,Университет «Иннополис»
1175148.0,БНТУ (филиал)
1174918.0,ЛНУ им. Ивана Франко
1174712.0,Universidade Europeia
1174307.0,TUM
1173738.0,Université de Lorraine
1173624.0,Escuela Politécnica Superior de Alcoy - UPV
1173543.0,BTU Cottbus-Senftenberg
1173524.0,Aix-Marseille Université
1173523.0,Université d'Aix-Marseille
1173324.0,Al-Balqa Applied University - Amman College
1173072.0,"СПбГЭУ (ранее ФИНЭК, ИНЖЭКОН, СПбГУСЭ)"
1173059.0,Миссионерский институт
1173020.0,ВКИЯ МИД РФ
1172960.0,SAN (dawniej SWSPiZ)
1172953.0,ПсковГУ (ВФ)
1172764.0,Tallinna Majanduskool
